index,ticker,name,in_date,in_source,out_date,out_source
코스닥 150,016250,이테크건설,2011-06-10,log,2012-06-15,log
코스닥 150,066700,테라젠,2011-06-10,log,2015-06-12,log
코스닥 150,067000,조이시티,2011-06-10,log,2017-12-15,log
코스닥 150,067310,하나마이크론,2011-06-10,log,2013-12-13,log
코스닥 150,073110,엘엠에스,2011-06-10,log,2013-12-13,log
코스닥 150,078520,에이블씨엔씨,2011-06-10,log,2015-07-31,synthetic
코스닥 150,096530,씨젠,2011-06-10,log,,
코스닥 150,108230,톱텍,2011-06-10,log,2022-06-10,log
코스닥 150,108320,LX세미콘,2011-06-10,log,2022-11-03,log
코스닥 150,114120,크루셜텍,2011-06-10,log,2017-06-09,log
코스닥 150,130960,CJ E&M,2011-06-10,log,2018-06-28,log
코스닥 150,043150,바텍,2011-08-22,log,2020-12-11,log
코스닥 150,067290,JW신약,2011-09-07,log,2019-12-13,log
코스닥 150,013990,아가방컴퍼니,2011-11-01,log,2014-06-13,log
코스닥 150,014190,후너스,2011-12-09,log,2013-06-14,log
코스닥 150,019210,와이지-원,2011-12-09,log,2020-06-12,log
코스닥 150,033170,시그네틱스,2011-12-09,log,2014-12-12,log
코스닥 150,036420,제이콘텐트리,2011-12-09,log,2019-10-31,synthetic
코스닥 150,042420,네오위즈,2011-12-09,log,2013-12-13,log
코스닥 150,043890,한빛방송,2011-12-09,log,2012-06-15,log
코스닥 150,051500,CJ프레시웨이,2011-12-09,log,2012-06-15,log
코스닥 150,058470,리노공업,2011-12-09,log,,
코스닥 150,060310,3S,2011-12-09,log,2014-12-12,log
코스닥 150,067990,도이치모터스,2011-12-09,log,2012-12-14,log
코스닥 150,071200,인피니트헬스케어,2011-12-09,log,2015-06-12,log
코스닥 150,098460,고영,2011-12-09,log,,
코스닥 150,100700,세운메디칼,2011-12-09,log,2013-12-13,log
코스닥 150,104480,티케이케미칼,2011-12-09,log,2014-12-12,log
코스닥 150,126880,제이엔케이히터,2011-12-09,log,2013-06-14,log
코스닥 150,136480,하림,2011-12-09,log,2012-12-14,log
코스닥 150,029960,코엔텍,2011-12-13,log,2013-12-13,log
코스닥 150,052260,현대바이오랜드,2012-03-28,log,2017-06-09,log
코스닥 150,011370,서한,2012-06-15,log,2016-12-09,log
코스닥 150,030520,한글과컴퓨터,2012-06-15,log,2019-12-13,log
코스닥 150,040350,큐로컴,2012-06-15,log,2013-12-13,log
코스닥 150,040910,아이씨디,2012-06-15,log,2014-12-12,log
코스닥 150,049550,잉크테크,2012-06-15,log,2015-06-12,log
코스닥 150,084990,헬릭스미스,2012-06-15,log,2023-12-15,log
코스닥 150,121440,골프존뉴딘홀딩스,2012-06-15,log,2019-06-14,log
코스닥 150,121600,나노신소재,2012-06-15,log,2012-12-14,log
코스닥 150,123100,원익테라세미콘,2012-06-15,log,2014-06-13,log
코스닥 150,035810,이지홀딩스,2012-09-24,log,2021-06-11,log
코스닥 150,003100,선광,2012-11-01,log,2015-06-12,log
코스닥 150,005990,매일홀딩스,2012-12-14,log,2017-12-15,log
코스닥 150,027580,상보,2012-12-14,log,2015-06-12,log
코스닥 150,035600,KG이니시스,2012-12-14,log,2025-06-13,log
코스닥 150,039840,디오,2012-12-14,log,2013-12-13,log
코스닥 150,051500,CJ프레시웨이,2012-12-14,log,2020-12-11,log
코스닥 150,052790,액토즈소프트,2012-12-14,log,2016-12-09,log
코스닥 150,060590,씨티씨바이오,2012-12-14,log,2017-06-09,log
코스닥 150,065620,제낙스,2012-12-14,log,2020-04-22,log
코스닥 150,097780,에스맥,2012-12-14,log,2014-12-12,log
코스닥 150,099660,신텍,2012-12-14,log,2014-06-13,log
코스닥 150,104830,원익머트리얼즈,2012-12-14,log,2023-12-15,log
코스닥 150,122870,와이지엔터테인먼트,2012-12-14,log,,
코스닥 150,123260,사파이어테크놀로지,2012-12-14,log,2015-06-12,log
코스닥 150,143240,사람인에이치알,2012-12-14,log,2015-06-12,log
코스닥 150,038390,레드캡투어,2013-03-27,log,2013-12-13,log
코스닥 150,024880,케이피에프,2013-06-14,log,2013-12-13,log
코스닥 150,031390,녹십자셀,2013-06-14,log,2021-10-28,log
코스닥 150,033500,동성화인텍,2013-06-14,log,2015-12-11,log
코스닥 150,039530,씨앤케이인터,2013-06-14,log,2014-12-12,log
코스닥 150,046440,KG모빌리언스,2013-06-14,log,2016-12-09,log
코스닥 150,054050,농우바이오,2013-06-14,log,2018-06-15,log
코스닥 150,061040,알에프텍,2013-06-14,log,2014-12-12,log
코스닥 150,065160,에프티이앤이,2013-06-14,log,2014-06-13,log
코스닥 150,065270,플렉스컴,2013-06-14,log,2014-06-13,log
코스닥 150,082210,옵트론텍,2013-06-14,log,2014-12-12,log
코스닥 150,086450,동국제약,2013-06-14,log,,
코스닥 150,036500,유원컴텍,2013-10-08,log,2014-06-13,log
코스닥 150,024660,하림홀딩스,2013-12-13,log,2018-06-28,log
코스닥 150,032500,케이엠더블유,2013-12-13,log,2015-12-11,log
코스닥 150,036190,금화피에스시,2013-12-13,log,2015-12-11,log
코스닥 150,040610,SG&G,2013-12-13,log,2015-06-12,log
코스닥 150,052270,우전앤한단,2013-12-13,log,2014-12-12,log
코스닥 150,052400,코나아이,2013-12-13,log,2017-06-09,log
코스닥 150,079960,동양이엔피,2013-12-13,log,2014-12-12,log
코스닥 150,084110,휴온스글로벌,2013-12-13,log,2020-12-11,log
코스닥 150,086980,쇼박스,2013-12-13,log,2018-06-15,log
코스닥 150,088390,이녹스,2013-12-13,log,2015-06-12,log
코스닥 150,099190,아이센스,2013-12-13,log,2018-12-14,log
코스닥 150,101730,위메이드맥스,2013-12-13,log,2015-12-11,log
코스닥 150,101970,우양에이치씨,2013-12-13,log,2014-12-12,log
코스닥 150,108380,대양전기공업,2014-03-26,log,2015-06-12,log
코스닥 150,014470,부방,2014-06-13,log,2015-12-11,log
코스닥 150,029960,코엔텍,2014-06-13,log,2015-06-12,log
코스닥 150,031980,피에스케이홀딩스,2014-06-13,log,2016-06-10,log
코스닥 150,038390,레드캡투어,2014-06-13,log,2015-12-11,log
코스닥 150,041520,이라이콤,2014-06-13,log,2016-06-10,log
코스닥 150,092040,아미코젠,2014-06-13,log,2023-12-15,log
코스닥 150,093920,서원인텍,2014-06-13,log,2015-12-11,log
코스닥 150,095190,이엠코리아,2014-06-13,log,2015-06-12,log
코스닥 150,100120,뷰웍스,2014-06-13,log,2019-12-13,log
코스닥 150,123420,선데이토즈,2014-06-13,log,2017-06-09,log
코스닥 150,136480,하림,2014-06-13,log,2018-06-15,log
코스닥 150,138070,신진에스엠,2014-06-13,log,2016-06-10,log
코스닥 150,168330,내츄럴엔도텍,2014-06-13,log,2015-06-12,log
코스닥 150,011040,경동제약,2014-12-12,log,2016-06-10,log
코스닥 150,016100,리더스코스메틱,2014-12-12,log,2019-12-13,log
코스닥 150,016250,이테크건설,2014-12-12,log,2020-06-12,log
코스닥 150,018310,삼목에스폼,2014-12-12,log,2016-12-09,log
코스닥 150,021320,KCC건설,2014-12-12,log,2016-06-10,log
코스닥 150,025770,한국정보통신,2014-12-12,log,2019-12-13,log
코스닥 150,025900,동화기업,2014-12-12,log,,
코스닥 150,033560,블루콤,2014-12-12,log,2017-06-09,log
