ticker,name,market,delisting_date,reason,is_genuine
050320,에스에이치엔엘,KOSDAQ,2022-05-31,감사의견 거절,Y
220630,맘스터치,KOSDAQ,2022-05-31,상장폐지 신청('22.03.30),Y
309900,티티씨디펜스,KONEX,2022-06-16,외부감사인의 감사의견 의견거절,Y
148780,비플라이소프트,KONEX,2022-06-20,코스닥시장 이전상장,N
176440,에이치엔티,KOSDAQ,2022-06-27,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,Y
216280,원텍,KONEX,2022-06-30,피흡수합병,N
001529,동양3우B,KOSPI,2022-07-14,(not in KIND — proxy date from last-CSV-date),Y
009275,신원우,KOSPI,2022-07-14,(not in KIND — proxy date from last-CSV-date),Y
016385,KG스틸우,KOSPI,2022-07-14,(not in KIND — proxy date from last-CSV-date),Y
002270,롯데푸드,KOSPI,2022-07-20,해산 사유 발생,N
340120,하이제5호스팩,KOSDAQ,2022-07-28,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
053110,소리바다,KOSDAQ,2022-09-07,감사의견 거절(감사범위 제한),Y
127160,매직마이크로,KOSDAQ,2022-09-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),Y
332710,하나금융14호스팩,KOSDAQ,2022-09-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,Y
046110,한일네트웍스,KOSDAQ,2022-10-05,상장폐지 신청('22.08.31),Y
067370,선바이오,KONEX,2022-10-05,코스닥시장 이전상장,N
090740,연이비앤티,KOSDAQ,2022-10-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
182690,테라셈,KOSDAQ,2022-10-17,감사의견 거절(감사범위 제한),Y
337450,SK5호스팩,KOSDAQ,2022-10-18,피흡수합병(스팩소멸합병),N
340350,SK6호스팩,KOSDAQ,2022-10-18,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
126870,뉴로스,KOSDAQ,2022-10-26,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),Y
347140,케이프이에스제4호,KOSDAQ,2022-10-31,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
108320,LX세미콘,KOSDAQ,2022-11-03,유가증권시장 상장,N
060300,레드로버,KOSDAQ,2022-11-04,기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,Y
158310,참존글로벌,KOSDAQ,2022-11-09,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,Y
084440,유비온,KONEX,2022-11-18,코스닥시장 이전상장,N
131390,원익피앤이,KOSDAQ,2022-11-29,피흡수합병,N
367460,유안타제7호스팩,KOSDAQ,2022-12-08,피흡수합병(스팩소멸합병),N
217600,켐온,KOSDAQ,2022-12-16,피흡수합병,N
290510,코리아센터,KOSDAQ,2022-12-16,피흡수합병,N
341160,하나금융15호스팩,KOSDAQ,2022-12-23,피흡수합병(스팩소멸합병),N
349720,이베스트스팩5호,KOSDAQ,2022-12-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
329020,오션스톤,KONEX,2022-12-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2022.12.13 限),Y
342550,케이비제20호스팩,KOSDAQ,2022-12-29,피흡수합병(스팩소멸합병),N
064510,유네코,KOSDAQ,2023-01-17,감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),Y
096300,베트남개발1,KOSPI,2023-02-02,해산 사유 발생,N
344050,신영스팩6호,KOSDAQ,2023-02-17,피흡수합병(스팩소멸합병),N
344860,이노진,KONEX,2023-02-20,코스닥시장 이전상장,N
000060,메리츠화재,KOSPI,2023-02-21,지주회사(최대주주등)의 완전자회사화 등,N
351340,IBKS제13호스팩,KOSDAQ,2023-02-21,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
343510,하나금융16호스팩,KOSDAQ,2023-03-02,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
397500,대신밸런스제11호스팩,KOSDAQ,2023-03-09,피흡수합병(스팩소멸합병),N
353070,에이치엠씨제4호스팩,KOSDAQ,2023-03-10,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,Y
387310,대신밸런스제10호스팩,KOSDAQ,2023-03-16,피흡수합병(스팩소멸합병),N
056000,코원플레이,KOSDAQ,2023-03-30,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),Y
267810,앙츠,KONEX,2023-04-04,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.21 限),Y
271850,다이오진,KONEX,2023-04-12,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.29 限),Y
